Date,TOD,Number
3/25/19,E,8457
2/28/19,E,4249
5/14/19,M,5082
4/19/19,M,9974
3/25/19,M,4172
2/28/19,M,9673
5/13/19,E,6120
4/18/19,E,0520
3/24/19,E,2597
2/27/19,E,5498
5/13/19,M,9642
4/18/19,M,4934
3/24/19,M,0715
2/27/19,M,4697
5/12/19,E,7365
4/17/19,E,0631
3/23/19,E,9108
2/26/19,E,5043
5/12/19,M,8857
4/17/19,M,8692
3/23/19,M,6654
2/26/19,M,9340
5/11/19,E,9348
4/16/19,E,7173
3/22/19,E,6367
2/25/19,E,0433
5/11/19,M,3446
4/16/19,M,5751
3/22/19,M,4549
2/25/19,M,2678
2/24/19,E,5690
1/30/19,E,3026
1/5/19,E,9518
12/11/18,E,7629
2/24/19,M,5521
1/30/19,M,0289
1/5/19,M,4449
12/11/18,M,8451
2/23/19,E,0390
1/29/19,E,1771
1/4/19,E,5584
12/10/18,E,0207
2/23/19,M,8030
1/29/19,M,8216
1/4/19,M,7105
12/10/18,M,3824
2/22/19,E,1208
1/28/19,E,1989
1/3/19,E,2251
12/9/18,E,4391
2/22/19,M,5508
1/28/19,M,6720
1/3/19,M,3367
12/9/18,M,4827
2/21/19,E,3635
1/27/19,E,7275
1/2/19,E,7314
12/8/18,E,1190
2/21/19,M,0992
1/27/19,M,1779
1/2/19,M,7210
12/8/18,M,1561
2/20/19,E,7318
1/26/19,E,7680
1/1/19,E,1762
12/7/18,E,6481
2/20/19,M,7582
1/26/19,M,7584
1/1/19,M,5274
12/7/18,M,8015
2/19/19,E,5836
1/25/19,E,9704
12/31/18,E,5899
12/6/18,E,3592
2/19/19,M,3660
1/25/19,M,6144
12/31/18,M,5759
12/6/18,M,1656
2/18/19,E,8425
1/24/19,E,1183
12/30/18,E,2699
12/5/18,E,8274
2/18/19,M,7753
1/24/19,M,7080
12/30/18,M,8418
12/5/18,M,2617
2/17/19,E,5825
1/23/19,E,8760
12/29/18,E,1337
12/4/18,E,7482
2/17/19,M,9398
1/23/19,M,3521
12/29/18,M,3143
12/4/18,M,7929
2/16/19,E,7967
1/22/19,E,6801
12/28/18,E,3915
12/3/18,E,1075
2/16/19,M,9557
1/22/19,M,4572
12/28/18,M,4254
12/3/18,M,6599
2/15/19,E,1971
1/21/19,E,4705
12/27/18,E,4986
12/2/18,E,1091
2/15/19,M,9554
1/21/19,M,8109
12/27/18,M,7262
12/2/18,M,9771
2/14/19,E,3995
1/20/19,E,1205
12/26/18,E,8955
12/1/18,E,1616
2/14/19,M,6704
1/20/19,M,0739
12/26/18,M,9800
12/1/18,M,3498
2/13/19,E,9173
1/19/19,E,0256
12/25/18,E,4040
11/30/18,E,8956
2/13/19,M,8733
1/19/19,M,0541
12/25/18,M,8632
11/30/18,M,9627
2/12/19,E,6232
1/18/19,E,5413
12/24/18,E,8631
11/29/18,E,9034
2/12/19,M,1809
1/18/19,M,7762
12/24/18,M,0594
11/29/18,M,8165
2/11/19,E,3493
1/17/19,E,5939
12/23/18,E,8472
11/28/18,E,5635
2/11/19,M,5062
1/17/19,M,4054
12/23/18,M,5568
11/28/18,M,3587
2/10/19,E,5885
1/16/19,E,3055
12/22/18,E,0053
11/27/18,E,4244
2/10/19,M,5156
1/16/19,M,0130
12/22/18,M,5014
11/27/18,M,7400
2/9/19,E,3075
1/15/19,E,5546
12/21/18,E,7408
11/26/18,E,4954
2/9/19,M,9243
1/15/19,M,2977
12/21/18,M,6330
11/26/18,M,5202
2/8/19,E,1620
1/14/19,E,1361
12/20/18,E,3358
11/25/18,E,6418
2/8/19,M,6822
1/14/19,M,8794
12/20/18,M,8300
11/25/18,M,0028
2/7/19,E,6758
1/13/19,E,3898
12/19/18,E,8489
11/24/18,E,7037
2/7/19,M,4886
1/13/19,M,8058
12/19/18,M,6474
11/24/18,M,7675
2/6/19,E,8669
1/12/19,E,8421
12/18/18,E,9522
11/23/18,E,2790
2/6/19,M,5351
1/12/19,M,5768
12/18/18,M,6591
11/23/18,M,4379
2/5/19,E,3237
1/11/19,E,5885
12/17/18,E,1581
11/22/18,E,3542
2/5/19,M,9715
1/11/19,M,8856
12/17/18,M,2549
11/22/18,M,4915
2/4/19,E,9710
1/10/19,E,6282
12/16/18,E,9033
11/21/18,E,0293
2/4/19,M,8895
1/10/19,M,4769
12/16/18,M,7355
11/21/18,M,1853
2/3/19,E,6947
1/9/19,E,5129
12/15/18,E,7138
11/20/18,E,1380
2/3/19,M,6057
1/9/19,M,3038
12/15/18,M,6849
11/20/18,M,8532
2/2/19,E,3559
1/8/19,E,9662
12/14/18,E,9289
11/19/18,E,8439
2/2/19,M,4191
1/8/19,M,3907
12/14/18,M,9629
11/19/18,M,5618
2/1/19,E,4198
1/7/19,E,9534
12/13/18,E,5219
11/18/18,E,7258
2/1/19,M,3254
1/7/19,M,6064
12/13/18,M,4551
11/18/18,M,5932
1/31/19,E,9230
1/6/19,E,0741
12/12/18,E,2276
11/17/18,E,7704
1/31/19,M,8350
1/6/19,M,5373
12/12/18,M,4689
11/17/18,M,0183
11/16/18,E,7571
10/22/18,E,6790
9/27/18,E,0774
9/2/18,E,9112
11/16/18,M,3411
10/22/18,M,6899
9/27/18,M,7397
9/2/18,M,2149
11/15/18,E,9785
10/21/18,E,8002
9/26/18,E,5186
9/1/18,E,8661
11/15/18,M,4390
10/21/18,M,0198
9/26/18,M,5714
9/1/18,M,7959
11/14/18,E,2396
10/20/18,E,2439
9/25/18,E,8366
8/31/18,E,7914
11/14/18,M,4442
10/20/18,M,7412
9/25/18,M,5372
8/31/18,M,9962
11/13/18,E,5973
10/19/18,E,9201
9/24/18,E,0493
8/30/18,E,7299
11/13/18,M,6894
10/19/18,M,7312
9/24/18,M,9869
8/30/18,M,0615
11/12/18,E,7679
10/18/18,E,0016
9/23/18,E,9283
8/29/18,E,9486
11/12/18,M,8908
10/18/18,M,8933
9/23/18,M,1354
8/29/18,M,5602
11/11/18,E,0495
10/17/18,E,2220
9/22/18,E,8119
8/28/18,E,5117
11/11/18,M,5980
10/17/18,M,5848
9/22/18,M,3995
8/28/18,M,7658
11/10/18,E,6284
10/16/18,E,9689
9/21/18,E,4103
8/27/18,E,3266
11/10/18,M,3575
10/16/18,M,6285
9/21/18,M,4851
8/27/18,M,1958
11/9/18,E,5106
10/15/18,E,4473
9/20/18,E,3766
8/26/18,E,9001
11/9/18,M,7437
10/15/18,M,7850
9/20/18,M,2424
8/26/18,M,5403
11/8/18,E,2269
10/14/18,E,4440
9/19/18,E,1133
8/25/18,E,8246
11/8/18,M,0481
10/14/18,M,9612
9/19/18,M,0447
8/25/18,M,8007
11/7/18,E,2881
10/13/18,E,4213
9/18/18,E,4066
8/24/18,E,9113
11/7/18,M,5157
10/13/18,M,4680
9/18/18,M,0956
8/24/18,M,3166
11/6/18,E,6304
10/12/18,E,1322
9/17/18,E,3761
8/23/18,E,0416
11/6/18,M,7231
10/12/18,M,3052
9/17/18,M,1554
8/23/18,M,2095
11/5/18,E,8969
10/11/18,E,4701
9/16/18,E,9961
8/22/18,E,7667
11/5/18,M,2913
10/11/18,M,5503
9/16/18,M,5458
8/22/18,M,0984
11/4/18,E,9584
10/10/18,E,9189
9/15/18,E,3997
8/21/18,E,0640
11/4/18,M,6180
10/10/18,M,1693
9/15/18,M,6376
8/21/18,M,9686
11/3/18,E,5137
10/9/18,E,8612
9/14/18,E,3850
8/20/18,E,5057
11/3/18,M,7183
10/9/18,M,7648
9/14/18,M,9440
8/20/18,M,5617
11/2/18,E,7103
10/8/18,E,0924
9/13/18,E,9329
8/19/18,E,5750
11/2/18,M,6723
10/8/18,M,5957
9/13/18,M,7478
8/19/18,M,9952
11/1/18,E,8843
10/7/18,E,3184
9/12/18,E,6669
8/18/18,E,7765
11/1/18,M,0563
10/7/18,M,3116
9/12/18,M,4571
8/18/18,M,7834
10/31/18,E,1479
10/6/18,E,8570
9/11/18,E,9202
8/17/18,E,6782
10/31/18,M,1432
10/6/18,M,8725
9/11/18,M,0313
8/17/18,M,9972
10/30/18,E,9635
10/5/18,E,6795
9/10/18,E,9758
8/16/18,E,5590
10/30/18,M,4132
10/5/18,M,3171
9/10/18,M,7614
8/16/18,M,7903
10/29/18,E,2637
10/4/18,E,3595
9/9/18,E,0377
8/15/18,E,9418
10/29/18,M,6465
10/4/18,M,6302
9/9/18,M,0624
8/15/18,M,9634
10/28/18,E,4470
10/3/18,E,3531
9/8/18,E,9712
8/14/18,E,0102
10/28/18,M,9933
10/3/18,M,0961
9/8/18,M,9103
8/14/18,M,1624
10/27/18,E,6154
10/2/18,E,1510
9/7/18,E,4155
8/13/18,E,5836
10/27/18,M,0748
10/2/18,M,1566
9/7/18,M,0354
8/13/18,M,8811
10/26/18,E,9459
10/1/18,E,4784
9/6/18,E,2430
8/12/18,E,2925
10/26/18,M,9587
10/1/18,M,2246
9/6/18,M,0614
8/12/18,M,4551
10/25/18,E,6971
9/30/18,E,6253
9/5/18,E,8769
8/11/18,E,6687
10/25/18,M,1840
9/30/18,M,7105
9/5/18,M,2540
8/11/18,M,4716
10/24/18,E,5089
9/29/18,E,4446
9/4/18,E,5469
8/10/18,E,1871
10/24/18,M,2876
9/29/18,M,0835
9/4/18,M,3477
8/10/18,M,0057
10/23/18,E,1368
9/28/18,E,7446
9/3/18,E,1450
8/9/18,E,4424
10/23/18,M,5708
9/28/18,M,8637
9/3/18,M,5758
8/9/18,M,2372
8/8/18,E,9347
7/14/18,E,8164
6/19/18,E,9642
5/25/18,E,4165
8/8/18,M,0158
7/14/18,M,2133
6/19/18,M,5375
5/25/18,M,3223
8/7/18,E,5102
7/13/18,E,4250
6/18/18,E,8415
5/24/18,E,5414
8/7/18,M,1020
7/13/18,M,6673
6/18/18,M,4485
5/24/18,M,2098
8/6/18,E,5518
7/12/18,E,4072
6/17/18,E,0866
5/23/18,E,2521
8/6/18,M,5751
7/12/18,M,4723
6/17/18,M,6806
5/23/18,M,3344
8/5/18,E,6997
7/11/18,E,7030
6/16/18,E,5158
5/22/18,E,9411
8/5/18,M,0389
7/11/18,M,5449
6/16/18,M,8260
5/22/18,M,2703
8/4/18,E,8122
7/10/18,E,1915
6/15/18,E,2189
5/21/18,E,5822
8/4/18,M,5260
7/10/18,M,9641
6/15/18,M,5874
5/21/18,M,1061
8/3/18,E,8466
7/9/18,E,8293
6/14/18,E,3731
5/20/18,E,3544
8/3/18,M,9518
7/9/18,M,2160
6/14/18,M,4217
5/20/18,M,0739
8/2/18,E,2299
7/8/18,E,4139
6/13/18,E,8242
5/19/18,E,3296
8/2/18,M,4730
7/8/18,M,0526
6/13/18,M,9471
5/19/18,M,9738
8/1/18,E,6907
7/7/18,E,8724
6/12/18,E,3406
5/18/18,E,4278
8/1/18,M,3007
7/7/18,M,5232
6/12/18,M,2039
5/18/18,M,3873
7/31/18,E,9551
7/6/18,E,3355
6/11/18,E,6190
5/17/18,E,8365
7/31/18,M,7813
7/6/18,M,3158
6/11/18,M,6068
5/17/18,M,9230
7/30/18,E,4052
7/5/18,E,0278
6/10/18,E,0068
5/16/18,E,4708
7/30/18,M,1696
7/5/18,M,3185
6/10/18,M,9837
5/16/18,M,1157
7/29/18,E,3532
7/4/18,E,9845
6/9/18,E,6673
5/15/18,E,5914
7/29/18,M,0190
7/4/18,M,4553
6/9/18,M,1267
5/15/18,M,3532
7/28/18,E,2573
7/3/18,E,0727
6/8/18,E,2082
5/14/18,E,6329
7/28/18,M,9952
7/3/18,M,5259
6/8/18,M,5674
5/14/18,M,4213
7/27/18,E,5448
7/2/18,E,5307
6/7/18,E,8013
5/13/18,E,6309
7/27/18,M,9027
7/2/18,M,3008
6/7/18,M,2948
5/13/18,M,4672
7/26/18,E,5604
7/1/18,E,9026
6/6/18,E,3204
5/12/18,E,5290
7/26/18,M,7603
7/1/18,M,5969
6/6/18,M,4142
5/12/18,M,0795
7/25/18,E,8513
6/30/18,E,3733
6/5/18,E,6318
5/11/18,E,6496
7/25/18,M,7774
6/30/18,M,7828
6/5/18,M,9264
5/11/18,M,9635
7/24/18,E,5080
6/29/18,E,7931
6/4/18,E,8777
5/10/18,E,4548
7/24/18,M,2296
6/29/18,M,7693
6/4/18,M,1641
5/10/18,M,3602
7/23/18,E,5222
6/28/18,E,7701
6/3/18,E,5961
5/9/18,E,6007
7/23/18,M,5230
6/28/18,M,2561
6/3/18,M,5289
5/9/18,M,2762
7/22/18,E,9719
6/27/18,E,7269
6/2/18,E,6825
5/8/18,E,0361
7/22/18,M,1640
6/27/18,M,7856
6/2/18,M,3538
5/8/18,M,1230
7/21/18,E,1227
6/26/18,E,2921
6/1/18,E,8084
5/7/18,E,6639
7/21/18,M,6807
6/26/18,M,0883
6/1/18,M,0029
5/7/18,M,0101
7/20/18,E,9035
6/25/18,E,8963
5/31/18,E,6126
5/6/18,E,6440
7/20/18,M,9140
6/25/18,M,7923
5/31/18,M,1686
5/6/18,M,5432
7/19/18,E,8247
6/24/18,E,2135
5/30/18,E,1479
5/5/18,E,7016
7/19/18,M,2201
6/24/18,M,5757
5/30/18,M,8165
5/5/18,M,0667
7/18/18,E,3781
6/23/18,E,2460
5/29/18,E,5148
5/4/18,E,5787
7/18/18,M,0160
6/23/18,M,9952
5/29/18,M,8846
5/4/18,M,2031
7/17/18,E,5729
6/22/18,E,9300
5/28/18,E,2708
5/3/18,E,5075
7/17/18,M,7243
6/22/18,M,1327
5/28/18,M,6341
5/3/18,M,4996
7/16/18,E,9150
6/21/18,E,3220
5/27/18,E,8293
5/2/18,E,0771
7/16/18,M,5484
6/21/18,M,9320
5/27/18,M,6990
5/2/18,M,4326
7/15/18,E,2260
6/20/18,E,9379
5/26/18,E,5650
5/1/18,E,4929
7/15/18,M,1355
6/20/18,M,5260
5/26/18,M,0911
5/1/18,M,7094
4/30/18,E,3684
4/5/18,E,1199
3/11/18,E,6358
2/14/18,E,0250
4/30/18,M,9409
4/5/18,M,7409
3/11/18,M,6798
2/14/18,M,2599
4/29/18,E,7787
4/4/18,E,2543
3/10/18,E,1640
2/13/18,E,0761
4/29/18,M,7142
4/4/18,M,4767
3/10/18,M,5306
2/13/18,M,6553
4/28/18,E,7695
4/3/18,E,0965
3/9/18,E,7717
2/12/18,E,1922
4/28/18,M,0944
4/3/18,M,9290
3/9/18,M,7112
2/12/18,M,3093
4/27/18,E,1566
4/2/18,E,5840
3/8/18,E,2890
2/11/18,E,1793
4/27/18,M,0536
4/2/18,M,3958
3/8/18,M,3454
2/11/18,M,2411
4/26/18,E,6329
4/1/18,E,9645
3/7/18,E,5078
2/10/18,E,1519
4/26/18,M,1161
4/1/18,M,3238
3/7/18,M,2710
2/10/18,M,4897
4/25/18,E,0407
3/31/18,E,3341
3/6/18,E,0130
2/9/18,E,0401
4/25/18,M,6633
3/31/18,M,1438
3/6/18,M,7356
2/9/18,M,5318
4/24/18,E,1535
3/30/18,E,8115
3/5/18,E,9970
2/8/18,E,4527
4/24/18,M,1521
3/30/18,M,0706
3/5/18,M,7538
2/8/18,M,4571
4/23/18,E,2849
3/29/18,E,7021
3/4/18,E,5613
2/7/18,E,2179
4/23/18,M,5140
3/29/18,M,4908
3/4/18,M,4108
2/7/18,M,8041
4/22/18,E,8398
3/28/18,E,5752
3/3/18,E,5757
2/6/18,E,1227
4/22/18,M,4468
3/28/18,M,5627
